Snapshot,Time_Gyr,Redshift,ExpansionFactor,Delta800,Delta1000,Delta1200
242.0,13.211426578054889,0.04356715107914244,0.9582517032717155,19.765218534298874,10.804906427900471,6.600143227184968
243.0,13.278482193118188,0.03863410196137873,0.9628029718180625,19.782253835643356,10.812008003143703,6.603688503735947
244.0,13.345696086314069,0.0337243718735154,0.9673758568617342,19.80017135011889,10.818859348391314,6.607080643586112
245.0,13.4130671259794,0.028837850584101155,0.9719704610714613,19.81572016137355,10.82708895725699,6.610782295378411
246.0,13.48059417811007,0.023974428382762536,0.9765868876036025,19.834409026799058,10.834994786096386,6.613923679664091
247.0,13.548276106579841,0.019133996077738358,0.9812252401044632,19.853063540562818,10.841982838466205,6.6171881284888
248.0,13.616111773357519,0.01431644499342588,0.9858856227126254,19.86861391325665,10.848947706587222,6.62052891433959
249.0,13.684100038722406,0.009521666967944764,0.99056814006128,19.88327114274526,10.856234755820825,6.62359349895054
250.0,13.75223976147795,0.004749554350707896,0.9952728972805794,19.89833122353972,10.862927009154276,6.626251415404328
251.0,13.82052979916365,2.220446049250313e-16,0.9999999999999998,19.911639369585473,10.86909321987713,6.628885736777328
